Nome,Valor,URL,prioridade,Comodo,Status
Tabuleiro para talheres,"€ 1,40",https://www.homa.pt/tabuleiro-para-talheres-europa-cinzento-390937.html,media,Cozinha,Comprar
Porta papel toalha,"€ 2,50",https://www.ikea.com/pt/pt/p/aptitlig-tabua-de-cortar-bambu-80233430/,alta,Cozinha,Comprar
Porta papel higienico,"€ 2,99",https://www.ikea.com/pt/pt/p/skogsviken-porta-rolos-preto-20423824/,alta,Banheiro,Comprar
kit porta coisa na pia,"€ 4,00",https://www.ikea.com/pt/pt/p/storavan-conj-casa-de-banho-3-pecas-branco-70429003/,alta,Banheiro,Comprar
Tabua de cortar,"€ 5,00",https://www.ikea.com/pt/pt/p/bergtunga-tabua-de-cortar-conjunto-de-2-azul-escuro-verm-80556905/,alta,Cozinha,Comprar
Copos gr - 6uni,"€ 6,00",https://www.ikea.com/pt/pt/p/ivrig-copo-cinz-00445228/,alta,Cozinha,Comprar
Conjunto de vasilhas,"€ 7,00",https://www.ikea.com/pt/pt/p/pruta-recipiente-p-alim-c-tampa-conj-17-verde-10597099/,media,Cozinha,Comprar
Kit Facas,"€ 7,00",https://www.ikea.com/pt/pt/p/aendlig-conjunto-de-facas-3-pecas-cinz-clr-branco-70257624/,alta,Cozinha,Comprar
Copos med - 6uni,"€ 7,00",https://www.ikea.com/pt/pt/p/vardagen-copo-vidro-transparente-00286917/#content,alta,Cozinha,Comprar
Colheres Cozinhar,"€ 7,00",https://www.ikea.com/pt/pt/p/grunka-utensilios-de-cozinha-4-pecas-aco-inoxidavel-30083334/,alta,Cozinha,Comprar
Lixeira Banheiro,"€ 8,00",https://www.ikea.com/pt/pt/p/ekoln-caixote-cinz-esc-40493910/,alta,Banheiro,Comprar
Espelho Banheiro,"€ 10,00",https://www.ikea.com/pt/pt/p/laerbro-espelho-70444956/,alta,Banheiro,Comprar
Tabua de cortar Madeira,"€ 10,00",https://www.ikea.com/pt/pt/p/aptitlig-tabua-de-cortar-bambu-80233430/,baixa,Cozinha,Comprar
porta coisa no box,"€ 12,00",https://www.ikea.com/pt/pt/p/brogrund-estante-de-parede-canto-aco-inoxidavel-30408979/,alta,Banheiro,Comprar
Frasco de organizacao,"€ 13,00",https://www.ikea.com/pt/pt/p/korallvippa-frasco-c-tampa-conj-6-transparente-70599316/,media,Cozinha,Comprar
Lata de lixo Cozinha,"€ 15,00",https://www.ikea.com/pt/pt/p/filur-caixote-c-tampa-branco-20193899/,alta,Cozinha,Comprar
Kit Facas Completo,"€ 20,00",https://www.homa.pt/conjunto-de-14-facas-cozinha-c-suporte-428793.html,baixa,Cozinha,Comprar
Vassoura/Pazinha/Rodo,"€ 20,00",https://www.leroymerlin.pt/produtos/tintas-e-drogaria/drogaria-e-limpeza/vassouras-escovas-e-pas/kit-de-sangue-com-manga-ajustavel-89014447.html,alta,Lavanderia/Limpeza,Comprar
talheres - 16uni,"€ 24,00",https://www.ikea.com/pt/pt/p/identitet-faqueiro-16-pecas-aco-inoxidavel-00453058/,alta,Cozinha,Comprar
"Escorredor ","€ 25,00",https://www.ikea.com/pt/pt/p/ordning-suporte-p-utensilios-cozinha-aco-inoxidavel-30131716/,alta,Cozinha,Comprar
Liquidifcador Portatil,"€ 30,00",,baixa,Cozinha,Comprar
Ferro de roupa,"€ 30,00",https://www.worten.pt/produtos/liquidificador-becken-btb2692-350-w-0-6-l-preto-e-inox-6060106,alta,Lavanderia/Limpeza,Comprar
Liquidificador,"€ 40,00",https://www.worten.pt/produtos/liquidificador-becken-btb5027-1000-w-1-5-l-inox-7178866,media,Cozinha,Comprar
Sanduicheira,"€ 40,00",https://www.worten.pt/produtos/sanduicheira-philips-hd2350-80-750-w-preto-8017295,alta,Cozinha,Comprar
Mopa TOP,"€ 40,00",https://www.leroymerlin.pt/produtos/tintas-e-drogaria/drogaria-e-limpeza/vassouras-escovas-e-pas/joybos-mutrindo-a-mao-com-as-almofadas-escuradoras-e-microfibras-89014469.html,baixa,Lavanderia/Limpeza,Comprar
Kit pratos,"€ 40,00",https://www.ikea.com/pt/pt/p/faergklar-servico-18-pcs-azul-claro-40600608/#content,alta,Cozinha,Comprar
Torradeira,"€ 50,00",,baixa,Cozinha,Comprar
Movel tv,"€ 75,00",https://www.ikea.com/pt/pt/p/byas-movel-tv-brilh-branco-80227797/,media,Sala/Copa,Comprar
Microondas,"€ 100,00",https://www.amazon.es/dp/B07KJNWTD9/ref=sr_1_2_sspa?crid=IV73JN3ILHTO&dib=eyJ2IjoiMSJ9.Cipjs9Fc25ayZ4KsGIMU_ijXmwzSlJ9i6hsSh4YYvNz2dVAdtmm_MOs7rg5vjS99eBkOllZU2AADJxBspV41U9UtQ-1OBe9Kl30vRoJHHolXQgqx09Mm6pF9Cq-frjUyBYAIIoWrP64Als2qg3_bS0wVfKJMzZ0F-nTr1rB99o1zDdkZBwk7zmBk8yCeZBpiiqmxGbutapOkngA8rzMMOdejtHdzh99jHfmnvVTXp9Ed4lhSHwxfC_3eBU_t1SFyg3fYHdBmf5rbzHfl5eGbvjaki5M7jSMDBsJ3JbVIlvI.m8lL9M3V00Qfp0qMbx7xgN-7tf9-GQxWZtsw9pCXnpA&dib_tag=se&keywords=microondas&qid=1727001982&refinements=p_36%3A-10000&rnid=1323854031&sprefix=microonda%2Caps%2C107&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,alta,Cozinha,Comprar
Trem de cozinha,"€ 100,00",https://www.homa.pt/trem-de-cozinha-8-pecas-coffee-stone-446239.html,alta,Cozinha,Comprar
Aspirador de pó,"€ 110,00",https://www.worten.pt/produtos/aspirador-sem-saco-bosch-bgc21hyg1-serie-4-76-db-7481096,baixa,Lavanderia/Limpeza,Comprar
Chuveiro,"€ 150,00",https://www.google.com/search?q=conjunto+duche&oq=conjunto+duche&gs_lcrp=EgZjaHJvbWUqCQgAEAAYExiABDIJCAAQABgTGIAEMgkIARAAGBMYgAQyCggCEAAYExgWGB4yCggDEAAYExgWGB4yCggEEAAYExgWGB4yCggFEAAYExgWGB4yCggGEAAYExgWGB4yBggHEEUYPNIBCDMwMzJqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8,alta,Banheiro,Comprar
Airfrayer,"€ 170,00",https://cosori.site/pt/fritadeira-de-ar-cosori-dual-basket-chef-edition/,alta,Cozinha,Comprar
Aspirador de pó portatil,"€ 200,00",https://www.amazon.es/-/pt/gp/product/B09V7Z195Q/ref=ox_sc_saved_image_1?smid=A1AT7YVPFBWXBL&psc=1,baixa,Lavanderia/Limpeza,Comprar
Cadeiras Individual,"€ 250,00",https://jysk.pt/sala-de-jantar/cadeiras-de-jantar/cadeira-de-jantar-purhus-branco-preto-0,alta,Sala/Copa,Comprar
Mesa Individual,"€ 250,00",https://jysk.pt/sala-de-jantar/mesas-de-jantar/mesa-de-jantar-skagen-90x150-carvalho-branco,alta,Sala/Copa,Comprar
Termoacumulador,"€ 270,00",https://www.amazon.es/-/pt/gp/product/B0CQ2X5ZTW/ref=ox_sc_saved_image_2?smid=A1AT7YVPFBWXBL&psc=1,baixa,Lavanderia/Limpeza,Comprar
Mesa de cozinha,"€ 319,00",https://www.ikea.com/pt/pt/p/pinntorp-stefan-mesa-e-4-cadeiras-castanho-claro-c-velatura-velatura-branca-knisa-cinz-bege-s39547834/#content,baixa,Sala/Copa,Comprar
Aspirador robo,"€ 400,00",https://www.xiaomistore.pt/aspirador-xiaomi-robot-vacuum-x20-eu,baixa,Lavanderia/Limpeza,Comprar
Maquina de café,"€ 400,00",https://www.delonghi.com/pt-pt/pt-pt/cafeteira-automatica-magnifica-start-ecam220-31-sb/p/ECAM220.31.SB?&utm_source=google&utm_medium=cpc&utm_campaign=PT_DL_hq_all-all_performance-max_googleads_STO-PMC_purchase&gad_source=1&gad_campaignid=16248350308&gbraid=0AAAAAoywjd8wuymvupsHb9ot5qZxXntfG&gclid=Cj0KCQjw9O_BBhCUARIsAHQMjS42vHixxeMXHNn5L9ayzPIfieIUu1vX5UicpqRTTLmReHfZmlR1b7saAjq1EALw_wcB&gclsrc=aw.ds,baixa,Cozinha,Comprar
Fogão,"€ 450,00",,alta,Cozinha,Comprar
Tv 65,"€ 500,00",https://www.worten.pt/produtos/tv-hisense-65a6n-led-65-165-cm-4k-ultra-hd-smart-tv-8022848,media,Sala/Copa,Comprar
Maquina de secar,"€ 500,00",https://www.worten.pt/produtos/maquina-de-cafe-automatica-delonghi-ecam220-21-b-magnifica-start-15-bar-13-niveis-de-moagem-7740973?gad_source=1&gad_campaignid=17626565226&gclid=Cj0KCQjw0erBBhDTARIsAKO8iqSJ4oGBEGDdQUQacqBf-ndY-RKyVMVbLvnsH0ZCOB_cXLsj6BWQEdEaAjajEALw_wcB,baixa,Lavanderia/Limpeza,Comprar
Maquina de lavar,"€ 500,00",https://www.worten.pt/produtos/maquina-de-lavar-roupa-haier-hw100-b14959u1-s-10-kg-1400-rpm-branco-7717958,alta,Lavanderia/Limpeza,Comprar
Sofa,"€ 550,00",https://www.conforama.pt/chaise-longue-ciro-reversivel?item=764526&_gl=1*of7eg4*_up*MQ..&gclid=Cj0KCQjw3bm3BhDJARIsAKnHoVWCq0iKScziaUG4965NRwgUGRuUXU8NVGE3gmF7dXhi8VXyCVJCy6MaApszEALw_wcB,alta,Sala/Copa,Comprar
Maquina de lavar louça,"€ 600,00",https://www.worten.pt/produtos/maquina-de-lavar-loica-siemens-sn23ei03ke-13-conjuntos-60-cm-inox-7861846,baixa,Cozinha,Comprar
Geladeira,"€ 600,00",https://www.worten.pt/produtos/frigorifico-combinado-hisense-rb390n4bcc-no-frost-186-cm-304-l-inox-7730335,alta,Cozinha,Comprar
Chavena expresso,,,,,Comprar
Armario Cozinha,,https://www.ikea.com/pt/pt/cat/metod-cozinha-ka005/,baixa,Cozinha,Comprar
